subject,name,description,unit,lowerLimit,upperLimit,default
plot area,Plot area/m2,Plot area measured in squared meters.,m2,0,NA,Yes
plot area,Plot area/cm2,Plot area measured in squared centimeters.,cm2,0,NA,No
plot dimension,Plot dimension/m,"Plot dimension (radius, length, width) measured in meters.",m,0,NA,Yes
plot dimension,Plot dimension/cm,"Plot dimension (radius, length, width) measured in centimeters.",cm,0,NA,No
plant cover,Plant cover/%,Plant cover as percentage of ground covered by the projection.,%,0,100,Yes
plant count,Individual plant counts,Number of plant individuals,individuals,0,NA,Yes
plant frequency,Plant frequency/%,Frequency of occurrence in fixed subunits of the plot,%,0,100,Yes
basal area,Basal area/m2*ha-1,Basal area in square meters per hectare,m2*ha-1,0,NA,Yes
stratum height,Stratum height/m,Stratum height in meters above the ground,m,0,NA,Yes
stratum height,Stratum height/cm,Stratum height in cm above the ground,cm,0,NA,No
plant height,Plant height/m,Plant height in meters above the ground,m,0,NA,Yes
plant height,Plant height/cm,Plant height in cm above the ground,cm,0,NA,No
stem diameter,DBH/cm,"Diameter at breast height, in cm",cm,0,NA,Yes
surface cover,Surface cover/%,Surface covered by a surface type as percentage of ground covered by the projection.,%,0,100,Yes
pH,pH/0-14,pH scale from 0 to 14,NA,0,14,Yes
slope,Slope/degrees,Slope measured using degrees,degrees,0,90,Yes
slope,Slope/percent,Slope measured using percent,%,0,100,No
aspect,Aspect/degrees,Aspect measured using degrees from North,degrees,-360,360,Yes
aspect,Aspect/radians,Aspect measured using radians from North,radians,-6.2832,6.2832,No
elevation,Elevation/m,Elevation measured using meters above sea level,m,NA,NA,Yes
Climate MAT,Climate MAT/Celsius,Mean annual temperature,Celsius,NA,NA,Yes
Climate TWM,Climate TWM/Celsius,Temperature of the warmest month,Celsius,NA,NA,Yes
Climate TCM,Climate TCM/Celsius,Temperature of the coldest month,Celsius,NA,NA,Yes
Climate MDR,Climate MDR/Celsius,Mean diurnal range,Celsius,0,NA,Yes
Climate MAP,Climate MAP/mm,Mean annual precipitation,mm,0,NA,Yes
Climate PDM,Climate PDM/mm,Precipitation of the driest month,mm,0,NA,Yes
Climate PWM,Climate PWM/mm,Precipitation of the wettest month,mm,0,NA,Yes
